id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,asset_id,symbol,asset_class,qty,filled_qty,filled_avg_price,order_type,type,side,time_in_force,limit_price,stop_price,status
c3174c74-f6c5-4f98-8aa6-7600ec0c5aa9,edd303fc-e811-466d-8dd7-40978b1d9961,2019-03-14T00:00:00Z,2019-03-14T00:00:00Z,2019-03-14T00:00:00Z,2019-03-14T00:00:00Z,,,,440efabf-b53c-4d70-b6e5-abb4f53e7104,TXN,us_equity,1,1,107.15,market,market,buy,day,,,filled
d31609ae-f84a-43cd-94e7-5cca9bc64a86,b068300c-384f-4cb2-9f24-f71af8193bf9,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,2,2,25.92,market,market,sell,day,,,filled
422a42ea-5c45-423a-9ae5-9505e58bfa41,eb87d691-7b7d-48ae-8596-580e8aa7d63f,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,5,5,139.24,market,market,sell,day,,,filled
64a3caa1-a257-4371-9872-7770d8cf2b87,2f479918-71ac-4364-ac59-fbe095b81be0,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,,,,cf80d13f-470c-4947-8593-c5e098aeba4e,CRM,us_equity,5,5,155.08,market,market,buy,day,,,filled
f071c6f2-26d0-46e4-b31e-a1113778b281,abff1778-5016-4f72-a415-53358b0246ed,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,2019-03-27T00:00:00Z,,,,440efabf-b53c-4d70-b6e5-abb4f53e7104,TXN,us_equity,1,1,105.96,market,market,buy,day,,,filled
6efab70b-5e64-427b-82a3-efc5da0e2c53,bdf25b1d-6a53-4ad5-ac1d-f7c27f012f6d,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,4,4,119.36,market,market,sell,day,,,filled
ebe9c2ac-5fe8-49f9-8384-dfb8044d0b29,e8978554-d179-40bc-9ebe-f28376e7f974,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,2,2,25.33,market,market,sell,day,,,filled
68bc3ba5-87d1-4de8-ac0e-4005215aef9f,c4418071-666c-48a8-8772-e3bd2553d733,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,2019-03-28T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,8,8,97.16,market,market,buy,day,,,filled
dac35371-bafc-46d2-a513-ad5dbbac2a74,8fefb7aa-d9aa-49cf-be12-a57cb985583f,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,32,32,28.25,market,market,sell,day,,,filled
f891b475-9309-463c-a7ee-3271a20d6d3a,c22be753-fcf5-475c-993d-469d450a280a,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,1,1,99.61,market,market,sell,day,,,filled
8e4edce7-f481-43a3-8c68-6bafb700b4bc,033c639b-3fb4-4b15-95e3-9bb917092620,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,,,,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,NFLX,us_equity,1,1,363.95,market,market,buy,day,,,filled
fd5add28-6cfa-4680-bf45-b0e4a47226b6,23c77bd6-b3cf-4744-b5c4-890c7f0adc83,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,2019-04-10T00:00:00Z,,,,440efabf-b53c-4d70-b6e5-abb4f53e7104,TXN,us_equity,1,1,114.91,market,market,buy,day,,,filled
7ba5326d-2dd0-4735-a312-56e180379eeb,20d69fa6-918b-4205-b6f2-711b016b3188,2019-04-11T00:00:00Z,2019-04-11T00:00:00Z,2019-04-11T00:00:00Z,2019-04-11T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,7,7,100.8,market,market,sell,day,,,filled
86192d03-60cc-4d53-9eb7-e99a3395d50f,59faab35-e3ee-4b46-9759-1b1ee6a2602f,2019-04-11T00:00:00Z,2019-04-11T00:00:00Z,2019-04-11T00:00:00Z,2019-04-11T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,4,4,122.37,market,market,buy,day,,,filled
1dd49ff7-2f68-4692-a2df-a1a53fb32ea3,55e04363-1f68-48ea-a1b5-ab81b8ca048d,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,37,37,29.49,market,market,sell,day,,,filled
da4f5857-3c12-49db-bc5e-fc265658fe30,db860683-9750-45f6-9e1b-6e02b4143793,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,,,,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,NFLX,us_equity,1,1,375.02,market,market,buy,day,,,filled
604dc153-47c4-4f7e-bdcc-2bd9a5e6ccf3,cfec0ab5-6bb2-47dd-8ada-0af27176e249,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,,,,bb2a26c0-4c77-4801-8afc-82e8142ac7b8,NFLX,us_equity,1,1,370.66,market,market,sell,day,,,filled
063c18d3-001a-458a-a643-b1e94065a08e,ee0711d6-e723-4a7b-a31e-6e5fc2cb9fe7,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,,,,1d27e066-67b9-4e11-b3a9-a6b50ca524e1,DISCK,us_equity,37,37,27.1,market,market,buy,day,,,filled
74a6400d-d58a-4231-9eb7-f5faf444bec0,79dd87f8-389d-45f4-b0e0-def52a00b15d,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,2019-05-07T00:00:00Z,,,,440efabf-b53c-4d70-b6e5-abb4f53e7104,TXN,us_equity,1,1,113.93,market,market,buy,day,,,filled
b0238dfb-b065-4e6d-bd93-42893348240d,b61e1afe-9bc9-4196-9bb9-cfae4b0be519,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,2,2,178.17,market,market,sell,day,,,filled
8d604eb1-1eb4-4542-a5b6-bddc289ce175,9ba896f7-e9be-4867-801d-f780ef7042dd,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,,,,cf80d13f-470c-4947-8593-c5e098aeba4e,CRM,us_equity,4,4,155.15,market,market,sell,day,,,filled
aeb19b0f-ac40-44bb-8348-948087d12151,c3c49a41-6c56-4a28-b86d-f6277f9ea03b,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,8,8,102.42,market,market,sell,day,,,filled
31b0c74e-7613-4628-8118-dd8766acd12d,04fd94b9-181f-40c9-941d-50670701f3c8,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,4,4,119.96,market,market,buy,day,,,filled
0d62cb97-0199-4a81-a2a8-754608cf4a93,e7e7346c-ce05-46e7-9e27-904270f51a6a,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,,,,21d40833-6d13-4031-9af3-02f6a516d791,IBM,us_equity,5,5,130.46,market,market,buy,day,,,filled
b0af5306-c8cb-433b-b44c-18c3e4ec695c,af6cd0b7-0dc3-4f2b-8a0f-a7a8cb4ee07d,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,2019-05-28T00:00:00Z,,,,440efabf-b53c-4d70-b6e5-abb4f53e7104,TXN,us_equity,6,6,103.18,market,market,buy,day,,,filled
82a3fa7d-0777-46e8-a8bf-cb6a21b4e739,cda2a7f2-4328-4454-8675-bf0263dc1c8b,2019-05-30T00:00:00Z,2019-05-30T00:00:00Z,2019-05-30T00:00:00Z,2019-05-30T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,4,4,127.0,market,market,sell,day,,,filled
4d150457-3224-475d-a77f-273fe3b6d5c5,b13cdbd0-6c95-4602-a6ce-8927bcd7f9b9,2019-05-30T00:00:00Z,2019-05-30T00:00:00Z,2019-05-30T00:00:00Z,2019-05-30T00:00:00Z,,,,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,WMT,us_equity,8,8,102.19,market,market,buy,day,,,filled
3e9a00b9-7bbd-40d7-bc44-5c66de6d2014,25ac4ae9-0146-454e-8ed4-dec8d17d5c9d,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,2019-06-03T00:00:00Z,,,,2edb3ef9-b5d8-4667-be8f-334884498ac9,DG,us_equity,4,4,128.96,market,market,sell,day,,,filled
