time,asset_class,asset_id,avg_entry_price,change_today,cost_basis,current_price,exchange,lastday_price,market_value,qty,side,symbol,unrealized_intraday_pl,unrealized_intraday_plpc,unrealized_pl,unrealized_plpc
2019-06-06 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,128.96,0,-515.84,131.48,NYSE,130.37,-525.92,-4,short,DG,0,0,-10.08,-0.01954
2019-06-06 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,101.95,0,815.6,105.11,NYSE,104.42,840.88,8,long,WMT,0,0,25.28,0.031
2019-06-06 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,158.41,0,-633.64,159.37,NYSE,158.41,-637.48,-4,short,CRM,0,0,-3.84,-0.00606
2019-06-06 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,131.45,0,657.25,132.25,NYSE,131.45,661.25,5,long,IBM,0,0,4.0,0.00609
2019-06-06 00:00:00,us_equity,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,-25.28,0,-0.0,105.11,NYSE,104.42,0.0,0,long,WMT,0,0,25.28,0.031
2019-06-06 00:00:00,us_equity,2edb3ef9-b5d8-4667-be8f-334884498ac9,10.08,0,0.0,131.48,NYSE,130.37,0.0,0,short,DG,0,0,-10.08,-0.01954
2019-06-07 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,158.41,0,-633.64,161.22,NYSE,159.37,-644.88,-4,short,CRM,0,0,-11.24,-0.01774
2019-06-07 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,131.45,0,657.25,133.29,NYSE,132.25,666.4499999999999,5,long,IBM,0,0,9.2,0.014
2019-06-08 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,158.41,0,-633.64,161.22,NYSE,161.22,-644.88,-4,short,CRM,0,0,-11.24,-0.01774
2019-06-08 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,131.45,0,657.25,133.29,NYSE,133.29,666.4499999999999,5,long,IBM,0,0,9.2,0.014
2019-06-09 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,158.41,0,-633.64,161.22,NYSE,161.22,-644.88,-4,short,CRM,0,0,-11.24,-0.01774
2019-06-09 00:00:00,us_equity,21d40833-6d13-4031-9af3-02f6a516d791,131.45,0,657.25,133.29,NYSE,133.29,666.4499999999999,5,long,IBM,0,0,9.2,0.014
2019-06-10 00:00:00,us_equity,cf80d13f-470c-4947-8593-c5e098aeba4e,158.41,0,-633.64,152.8,NYSE,161.22,-611.2,-4,short,CRM,0,0,22.44,0.03541
